CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Município e Ano/mês compet.
Período:2024
"Município";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez"
"150010 ABAETETUBA";278;278;278;278;278;278;278;278;278;278;278;278
"150013 ABEL FIGUEIREDO";21;21;21;21;21;21;21;21;21;21;21;21
"150020 ACARA";33;33;33;33;33;33;33;33;33;33;33;33
"150030 AFUA";30;30;30;30;30;30;30;30;30;30;30;30
"150034 AGUA AZUL DO NORTE";40;40;40;40;40;40;40;40;40;40;40;40
"150040 ALENQUER";95;95;95;95;95;95;95;95;95;95;95;95
"150050 ALMEIRIM";107;107;107;110;110;110;110;110;110;110;110;110
"150060 ALTAMIRA";225;179;179;225;225;225;229;229;229;244;244;244
"150070 ANAJAS";20;20;20;20;20;20;20;20;20;20;20;20
"150080 ANANINDEUA";866;873;873;873;873;877;843;843;843;837;842;842
"150085 ANAPU";41;41;41;41;41;41;41;41;41;41;41;41
"150090 AUGUSTO CORREA";83;83;83;83;83;83;83;83;83;83;83;83
"150095 AURORA DO PARA";58;58;58;58;58;58;58;58;58;58;58;58
"150100 AVEIRO";-;-;-;-;-;-;-;-;-;24;24;24
"150110 BAGRE";15;15;15;15;15;15;15;15;15;15;15;15
"150120 BAIAO";33;33;33;33;33;33;33;33;33;33;33;33
"150125 BANNACH";10;10;10;10;10;10;10;10;10;10;10;10
"150130 BARCARENA";173;173;173;173;173;173;175;175;175;175;175;175
"150140 BELEM";3745;3745;3896;3957;3987;4002;3848;4117;4165;4165;4175;4164
"150145 BELTERRA";48;48;48;48;48;48;48;48;48;48;48;48
"150157 BOM JESUS DO TOCANTINS";31;31;31;31;31;31;31;31;31;31;31;31
"150170 BRAGANCA";305;305;268;268;268;268;268;268;268;268;268;268
"150172 BRASIL NOVO";33;33;33;33;33;33;33;33;33;33;33;33
"150175 BREJO GRANDE DO ARAGUAIA";24;24;24;24;24;24;24;24;24;24;24;24
"150178 BREU BRANCO";29;29;29;29;29;29;29;29;29;29;29;29
"150180 BREVES";140;140;140;140;140;140;140;140;140;140;140;140
"150200 CACHOEIRA DO ARARI";20;20;20;20;20;20;20;20;20;20;20;20
"150210 CAMETA";183;183;183;183;183;183;183;183;183;183;183;183
"150215 CANAA DOS CARAJAS";110;109;116;116;116;116;127;144;144;144;144;144
"150220 CAPANEMA";260;260;260;260;260;260;260;260;260;260;260;260
"150230 CAPITAO POCO";189;189;189;189;189;189;189;189;189;189;189;189
"150240 CASTANHAL";515;515;515;515;515;515;515;519;519;519;519;519
"150250 CHAVES";16;16;16;16;16;16;16;16;16;16;16;16
"150260 COLARES";8;8;8;8;8;8;8;8;8;8;8;8
"150270 CONCEICAO DO ARAGUAIA";119;119;119;119;119;119;119;119;119;119;119;119
"150275 CONCORDIA DO PARA";30;30;30;30;30;30;30;30;30;30;30;30
"150276 CUMARU DO NORTE";11;11;11;11;11;11;11;11;11;11;11;11
"150277 CURIONOPOLIS";39;39;39;39;39;39;39;39;39;39;37;37
"150280 CURRALINHO";26;26;26;26;26;26;26;26;26;26;26;26
"150290 CURUCA";27;27;27;27;27;27;27;27;27;27;27;27
"150293 DOM ELISEU";116;116;116;116;116;116;116;116;116;116;116;116
"150295 ELDORADO DOS CARAJAS";41;41;41;41;41;41;41;41;41;41;41;41
"150300 FARO";10;10;10;10;10;10;10;10;10;10;10;10
"150304 FLORESTA DO ARAGUAIA";20;20;20;20;20;20;20;20;19;19;19;19
"150307 GARRAFAO DO NORTE";18;18;18;18;18;18;18;18;18;18;18;18
"150309 GOIANESIA DO PARA";24;24;24;24;24;24;24;24;24;24;24;24
"150310 GURUPA";23;23;23;23;23;23;23;23;23;23;23;23
"150320 IGARAPE-ACU";45;45;45;45;45;45;45;45;45;45;45;45
"150330 IGARAPE-MIRI";145;145;145;145;145;145;145;145;145;145;145;145
"150340 INHANGAPI";19;19;19;19;19;19;19;19;19;19;19;19
"150345 IPIXUNA DO PARA";83;61;61;61;61;61;61;61;61;61;61;61
"150350 IRITUIA";30;30;30;30;30;30;30;30;30;30;30;30
"150360 ITAITUBA";351;351;351;351;351;351;351;351;351;351;351;351
"150370 ITUPIRANGA";53;53;53;53;53;53;53;53;53;53;53;53
"150375 JACAREACANGA";27;27;27;27;27;27;27;27;27;27;27;27
"150380 JACUNDA";112;112;100;102;102;102;102;102;102;102;104;104
"150390 JURUTI";100;100;100;100;100;100;100;100;100;100;112;112
"150400 LIMOEIRO DO AJURU";20;20;20;20;20;20;20;20;20;20;20;20
"150405 MAE DO RIO";52;52;52;52;52;52;52;52;52;52;52;52
"150420 MARABA";338;343;320;320;320;320;320;320;320;320;340;340
"150430 MARACANA";27;27;27;27;27;27;27;27;27;27;27;27
"150440 MARAPANIM";18;18;18;18;18;18;18;18;18;18;18;18
"150442 MARITUBA";162;162;162;162;162;162;162;162;162;162;162;162
"150445 MEDICILANDIA";38;38;47;47;47;47;50;50;50;50;50;50
"150450 MELGACO";15;15;15;15;15;15;15;15;15;15;15;15
"150460 MOCAJUBA";27;27;27;27;27;27;27;27;27;27;27;27
"150470 MOJU";50;50;50;50;50;50;50;50;50;50;50;50
"150480 MONTE ALEGRE";56;56;56;56;56;56;83;83;83;83;83;83
"150490 MUANA";42;42;42;42;42;42;42;42;42;42;42;42
"150495 NOVA ESPERANCA DO PIRIA";32;32;32;32;32;32;32;32;32;32;32;32
"150497 NOVA IPIXUNA";15;15;15;15;15;15;15;15;15;15;15;15
"150500 NOVA TIMBOTEUA";6;6;6;6;6;6;6;6;6;6;6;6
"150503 NOVO PROGRESSO";47;47;47;47;47;47;47;47;47;47;47;47
"150506 NOVO REPARTIMENTO";54;54;54;54;54;54;54;54;54;54;54;54
"150510 OBIDOS";65;65;65;65;-;60;60;60;66;66;66;66
"150520 OEIRAS DO PARA";15;15;15;15;15;15;15;15;15;15;15;15
"150530 ORIXIMINA";93;93;93;93;93;93;93;93;93;109;109;109
"150540 OUREM";24;24;24;24;24;24;24;24;24;24;24;24
"150543 OURILANDIA DO NORTE";190;206;206;206;212;212;212;212;212;212;212;212
"150548 PACAJA";37;37;37;37;37;37;37;37;37;37;37;37
"150549 PALESTINA DO PARA";20;20;20;20;20;20;20;20;20;20;20;20
"150550 PARAGOMINAS";177;177;177;177;175;175;180;180;191;191;191;191
"150553 PARAUAPEBAS";345;345;345;345;345;372;365;365;374;382;374;346
"150555 PAU D'ARCO";22;22;22;22;22;22;22;22;22;22;22;22
"150563 PICARRA";27;27;27;27;27;27;27;27;27;27;27;27
"150565 PLACAS";39;39;39;39;39;39;39;39;29;29;29;29
"150570 PONTA DE PEDRAS";20;20;20;20;20;20;20;20;20;20;20;20
"150580 PORTEL";49;49;49;49;49;49;49;49;49;49;49;49
"150590 PORTO DE MOZ";49;49;49;49;49;49;49;49;56;56;56;56
"150600 PRAINHA";24;24;24;24;24;24;24;24;24;24;24;24
"150610 PRIMAVERA";10;10;10;10;10;10;10;10;10;10;10;10
"150613 REDENCAO";288;288;288;288;288;288;290;300;300;300;300;300
"150616 RIO MARIA";86;86;86;86;86;86;86;86;86;86;86;86
"150618 RONDON DO PARA";60;60;60;60;60;60;60;60;60;60;60;60
"150619 RUROPOLIS";29;31;31;31;31;31;31;31;31;31;33;33
"150620 SALINOPOLIS";47;47;47;47;47;47;47;47;47;47;47;47
"150630 SALVATERRA";19;19;19;19;19;19;19;19;19;19;19;19
"150640 SANTA CRUZ DO ARARI";15;15;15;15;15;15;15;15;15;15;15;15
"150650 SANTA IZABEL DO PARA";60;60;60;60;60;60;60;60;60;60;60;60
"150655 SANTA LUZIA DO PARA";16;16;16;16;16;16;16;16;16;16;16;16
"150658 SANTA MARIA DAS BARREIRAS";46;46;46;46;46;46;46;46;46;46;46;46
"150660 SANTA MARIA DO PARA";51;51;51;51;51;51;51;51;51;51;51;51
"150670 SANTANA DO ARAGUAIA";66;66;66;66;66;66;66;66;66;66;66;66
"150680 SANTAREM";394;394;394;394;394;403;403;403;382;404;404;404
"150700 SANTO ANTONIO DO TAUA";85;85;85;85;85;85;85;85;85;85;85;85
"150710 SAO CAETANO DE ODIVELAS";20;20;20;20;20;20;20;20;20;20;20;20
"150715 SAO DOMINGOS DO ARAGUAIA";21;21;21;21;21;21;21;21;21;21;21;21
"150720 SAO DOMINGOS DO CAPIM";31;31;31;31;31;31;31;31;31;31;31;31
"150730 SAO FELIX DO XINGU";143;143;143;143;143;143;143;143;143;143;143;143
"150745 SAO GERALDO DO ARAGUAIA";41;41;41;41;41;41;41;41;41;41;41;41
"150747 SAO JOAO DE PIRABAS";24;24;24;24;24;24;24;24;24;24;24;24
