Unidades da Federação,Municípios,"Número de unidades
locais",Pessoal ocupado Total,Pessoal ocupado assalariado,Pessoal assalariado médio,"Salários
e outras
remunerações
(1 000 R$)","Salário médio
 mensal 
(salários mínimos)  (1) (2) ","Salário médio
 mensal 
(R$) (2)",Número de empresas atuantes
São Paulo,Araçoiaba da Serra - SP,   1 279,   7 362,   6 029,   5 967,   201 561,2.4,   2 598.60,   1 260
São Paulo,Aramina - SP,171,799,634,719,   18 820,1.8,   2 012.33,169
São Paulo,Arandu - SP,151,994,828,859,   21 613,1.8,   1 935.76,148
São Paulo,Arapeí - SP,84,384,309,313,   8 543,1.9,   2 098.08,81
São Paulo,Araraquara - SP,   10 462,   90 272,   77 150,   74 139,  2 822 647,2.7,   2 928.64,   10 107
São Paulo,Araras - SP,   5 956,   43 843,   36 865,   36 940,  1 433 527,2.7,   2 985.11,   5 428
São Paulo,Arco-Íris - SP,44,390,359,293,   8 556,2,   2 242.49,44
São Paulo,Arealva - SP,219,   1 505,   1 286,   1 244,   31 844,1.8,   1 969.04,216
São Paulo,Areias - SP,71,455,382,383,   9 567,1.7,   1 923.05,71
São Paulo,Areiópolis - SP,218,   1 445,   1 212,   1 238,   33 746,1.9,   2 096.05,209
São Paulo,Ariranha - SP,203,   2 767,   2 511,   2 747,   118 036,3,   3 305.62,190
São Paulo,Artur Nogueira - SP,   1 833,   11 103,   8 910,   9 013,   308 432,2.4,   2 632.46,   1 738
São Paulo,Arujá - SP,   2 660,   29 262,   26 129,   25 817,  1 025 554,2.8,   3 055.70,   2 580
São Paulo,Aspásia - SP,169,338,206,201,   6 320,2.2,   2 416.80,148
São Paulo,Assis - SP,   4 658,   27 763,   22 094,   21 777,   752 636,2.4,   2 658.53,   4 535
São Paulo,Atibaia - SP,   7 741,   50 571,   41 052,   39 729,  1 501 809,2.6,   2 907.82,   7 513
São Paulo,Auriflama - SP,862,   3 176,   2 390,   2 438,   63 002,1.8,   1 988.09,789
São Paulo,Avaí - SP,100,789,700,861,   24 876,2,   2 223.19,98
São Paulo,Avanhandava - SP,440,   2 040,   1 640,   2 012,   62 102,2.2,   2 374.09,359
São Paulo,Avaré - SP,   3 420,   23 656,   20 130,   20 376,   627 742,2.2,   2 369.89,   3 294
São Paulo,Bady Bassitt - SP,894,   5 836,   4 698,   4 296,   135 463,2.2,   2 425.57,886
São Paulo,Balbinos - SP,36,318,299,296,   8 144,1.9,   2 119.89,33
São Paulo,Bálsamo - SP,620,   2 929,   2 224,   2 187,   55 366,1.8,   1 947.09,598
São Paulo,Bananal - SP,506,   1 952,   1 435,   1 436,   37 804,1.8,   2 024.64,483
São Paulo,Barão de Antonina - SP,109,569,475,538,   11 742,1.5,   1 679.06,104
São Paulo,Barbosa - SP,153,882,764,683,   18 790,1.9,   2 117.27,143
São Paulo,Bariri - SP,   1 335,   9 425,   7 810,   8 114,   253 087,2.2,   2 399.29,   1 300
São Paulo,Barra Bonita - SP,   1 511,   12 604,   10 743,   11 139,   382 014,2.4,   2 638.16,   1 481
São Paulo,Barra do Chapéu - SP,286,841,548,546,   13 430,1.7,   1 893.68,282
São Paulo,Barra do Turvo - SP,104,758,664,664,   17 349,1.8,   2 009.18,102
São Paulo,Barretos - SP,   4 684,   37 648,   32 221,   32 585,  1 136 977,2.4,   2 684.03,   4 499
São Paulo,Barrinha - SP,717,   5 370,   4 592,   4 487,   130 721,2,   2 241.25,709
São Paulo,Barueri - SP,   20 675,   337 990,   312 802,   293 390,  17 116 100,4.1,   4 487.63,   19 885
São Paulo,Bastos - SP,690,   4 935,   4 172,   4 260,   126 785,2.1,   2 289.54,678
São Paulo,Batatais - SP,   2 321,   17 985,   15 475,   15 100,   535 747,2.5,   2 729.31,   2 183
São Paulo,Bauru - SP,   15 336,   149 046,   130 241,   124 626,  4 645 245,2.6,   2 867.20,   14 669
São Paulo,Bebedouro - SP,   3 473,   30 283,   26 417,   25 781,   873 688,2.4,   2 606.86,   3 244
São Paulo,Bento de Abreu - SP,90,   1 050,981,   1 006,   38 117,2.6,   2 913.41,78
São Paulo,Bernardino de Campos - SP,672,   3 018,   2 373,   2 167,   64 559,2.1,   2 291.83,624
São Paulo,Bertioga - SP,   2 593,   16 808,   14 020,   13 234,   525 380,2.8,   3 053.77,   2 548
São Paulo,Bilac - SP,373,   1 885,   1 443,   1 480,   44 433,2.1,   2 309.33,343
São Paulo,Birigui - SP,   4 891,   34 519,   28 816,   29 385,   841 010,2,   2 201.54,   4 731
São Paulo,Biritiba-Mirim - SP,510,   3 277,   2 740,   2 804,   82 160,2,   2 253.78,496
São Paulo,Boa Esperança do Sul - SP,484,   2 912,   2 482,   2 501,   64 931,1.8,   1 996.88,444
São Paulo,Bocaina - SP,584,   3 476,   2 901,   3 101,   105 188,2.4,   2 609.30,562
São Paulo,Bofete - SP,245,   2 309,   2 065,   1 917,   78 610,2.9,   3 153.94,239
São Paulo,Boituva - SP,   2 742,   23 619,   20 104,   20 646,   854 720,2.9,   3 184.48,   2 677
São Paulo,Bom Jesus dos Perdões - SP,682,   6 623,   5 788,   5 770,   186 837,2.3,   2 490.85,680
São Paulo,Bom Sucesso de Itararé - SP,78,549,490,508,   14 065,1.9,   2 127.97,73
São Paulo,Borá - SP,77,943,875,   1 097,   36 031,2.3,   2 526.83,74
São Paulo,Boracéia - SP,153,   1 503,   1 302,   1 317,   44 001,2.3,   2 570.59,150
São Paulo,Borborema - SP,842,   3 491,   2 688,   2 691,   74 322,1.9,   2 124.90,741
São Paulo,Borebi - SP,68,651,596,629,   18 330,2,   2 242.98,66
São Paulo,Botucatu - SP,   5 272,   46 342,   40 719,   40 604,  1 610 427,2.8,   3 050.90,   5 044
São Paulo,Bragança Paulista - SP,   7 811,   55 364,   45 862,   44 144,  1 617 870,2.6,   2 819.22,   7 561
São Paulo,Braúna - SP,125,548,416,435,   13 370,2.1,   2 364.23,121
São Paulo,Brejo Alegre - SP,169,563,399,423,   12 088,2,   2 196.31,158
São Paulo,Brodowski - SP,   1 016,   6 500,   5 303,   5 400,   167 137,2.2,   2 381.03,   1 002
São Paulo,Brotas - SP,   1 252,   7 196,   5 938,   6 136,   225 390,2.6,   2 825.59,   1 154
São Paulo,Buri - SP,654,   4 361,   3 695,   3 655,   90 866,1.7,   1 912.61,626
São Paulo,Buritama - SP,910,   4 464,   3 568,   3 861,   128 099,2.3,   2 552.16,839
São Paulo,Buritizal - SP,149,   1 490,   1 378,   1 502,   74 372,3.5,   3 809.24,135
São Paulo,Cabrália Paulista - SP,155,969,821,825,   22 372,1.9,   2 086.57,151
São Paulo,Cabreúva - SP,   1 351,   17 121,   15 508,   15 157,   649 819,3,   3 297.92,   1 324
São Paulo,Caçapava - SP,   2 334,   24 553,   21 634,   21 681,   958 019,3.1,   3 399.05,   2 275
São Paulo,Cachoeira Paulista - SP,739,   5 534,   4 774,   4 814,   150 331,2.2,   2 402.29,701
São Paulo,Caconde - SP,   2 780,   4 255,   1 650,   1 624,   45 281,1.9,   2 144.49,   2 582
São Paulo,Cafelândia - SP,712,   4 250,   3 685,   3 657,   104 312,2,   2 194.18,656
São Paulo,Caiabu - SP,84,415,335,329,   9 042,1.9,   2 110.99,83
São Paulo,Caieiras - SP,   2 561,   24 610,   21 569,   22 138,   896 115,2.8,   3 113.75,   2 498
São Paulo,Caiuá - SP,511,875,388,398,   12 015,2.1,   2 324.20,504
São Paulo,Cajamar - SP,   2 854,   55 163,   52 368,   51 139,  2 212 296,3,   3 327.72,   2 726
São Paulo,Cajati - SP,592,   6 741,   6 104,   5 990,   215 062,2.5,   2 761.71,585
São Paulo,Cajobi - SP,475,   1 789,   1 359,   1 392,   38 844,2,   2 146.47,401
São Paulo,Cajuru - SP,   1 208,   6 200,   4 898,   4 851,   140 216,2,   2 223.33,   1 119
São Paulo,Campina do Monte Alegre - SP,183,768,573,573,   18 923,2.3,   2 542.55,181
São Paulo,Campinas - SP,   59 104,   474 810,   404 030,   397 532,  21 756 541,3.8,   4 209.92,   56 149
São Paulo,Campo Limpo Paulista - SP,   1 527,   13 816,   12 064,   12 265,   538 799,3.1,   3 379.31,   1 497
São Paulo,Campos do Jordão - SP,   2 474,   14 948,   12 402,   12 015,   332 914,1.9,   2 131.39,   2 348
São Paulo,Campos Novos Paulista - SP,246,873,640,639,   18 805,2.1,   2 264.41,230
São Paulo,Cananéia - SP,250,   1 736,   1 483,   1 453,   46 770,2.3,   2 475.54,244
São Paulo,Canas - SP,121,   1 146,   1 014,993,   26 606,1.9,   2 061.61,121
São Paulo,Cândido Mota - SP,   1 125,   7 237,   5 941,   5 900,   241 716,2.9,   3 151.36,   1 098
São Paulo,Cândido Rodrigues - SP,119,654,539,713,   21 738,2.1,   2 345.11,115
São Paulo,Canitar - SP,87,576,494,498,   14 353,2,   2 215.50,87
São Paulo,Capão Bonito - SP,   2 291,   9 617,   7 129,   6 896,   186 975,1.9,   2 085.55,   2 211
São Paulo,Capela do Alto - SP,706,   4 014,   3 283,   3 371,   87 793,1.8,   2 003.50,680
São Paulo,Capivari - SP,   1 815,   17 259,   14 792,   14 660,   535 735,2.6,   2 811.10,   1 763
São Paulo,Caraguatatuba - SP,   4 331,   30 186,   25 568,   25 143,   899 401,2.5,   2 751.65,   4 181
São Paulo,Carapicuíba - SP,   6 024,   42 427,   35 838,   35 995,  1 110 104,2.2,   2 372.34,   5 825
São Paulo,Cardoso - SP,348,   1 434,   1 082,   1 084,   39 057,2.5,   2 772.38,333
São Paulo,Casa Branca - SP,   1 179,   6 261,   5 108,   5 078,   163 751,2.3,   2 480.45,   1 074
São Paulo,Cássia dos Coqueiros - SP,370,631,291,306,   7 524,1.7,   1 888.35,324
São Paulo,Castilho - SP,413,   3 546,   3 210,   3 467,   132 459,2.7,   2 938.84,345
São Paulo,Catanduva - SP,   5 744,   45 781,   38 118,   39 646,  1 396 289,2.5,   2 709.14,   5 507
São Paulo,Catiguá - SP,194,864,659,660,   20 494,2.2,   2 387.01,192
São Paulo,Cedral - SP,600,   5 726,   5 081,   5 160,   177 105,2.4,   2 640.12,587
São Paulo,Cerqueira César - SP,530,   4 702,   4 052,   4 263,   155 851,2.6,   2 812.50,513
São Paulo,Cerquilho - SP,   2 310,   15 806,   12 745,   12 942,   410 436,2.2,   2 439.44,   2 208
São Paulo,Cesário Lange - SP,934,   6 139,   5 211,   4 253,   130 003,2.1,   2 351.37,840
São Paulo,Charqueada - SP,567,   2 808,   2 135,   2 249,   69 234,2.2,   2 368.37,522
São Paulo,Clementina - SP,206,   1 386,   1 150,   1 167,   55 811,3.3,   3 680.35,193
São Paulo,Colina - SP,475,   6 374,   5 855,   5 934,   190 092,2.2,   2 463.97,455
São Paulo,Colômbia - SP,150,   3 714,   3 576,   3 482,   108 886,2.2,   2 405.40,137
São Paulo,Conchal - SP,788,   6 255,   5 425,   5 497,   167 702,2.1,   2 346.78,756
São Paulo,Conchas - SP,618,   3 382,   2 793,   2 817,   75 200,1.9,   2 053.79,591
São Paulo,Cordeirópolis - SP,   1 034,   11 414,   10 336,   10 510,   477 411,3.2,   3 494.12,977
São Paulo,Coroados - SP,162,   1 100,939,961,   27 778,2,   2 222.90,160
São Paulo,Coronel Macedo - SP,203,825,663,678,   16 128,1.7,   1 830.60,181
São Paulo,Corumbataí - SP,182,   1 273,   1 077,   1 039,   43 172,2.9,   3 196.93,170
São Paulo,Cosmópolis - SP,   1 699,   11 982,   10 006,   10 066,   420 688,2.9,   3 214.90,   1 649
São Paulo,Cosmorama - SP,266,   2 789,   2 530,   2 517,   81 485,2.3,   2 490.54,261
São Paulo,Cotia - SP,   10 373,   91 249,   79 171,   77 007,  3 500 534,3.2,   3 496.71,   10 121
São Paulo,Cravinhos - SP,   1 836,   12 210,   10 232,   9 824,   464 407,3.3,   3 636.49,   1 643
São Paulo,Cristais Paulista - SP,344,   1 286,960,982,   28 763,2,   2 253.71,322
São Paulo,Cruzália - SP,120,446,345,328,   11 183,2.4,   2 622.80,108
São Paulo,Cruzeiro - SP,   1 985,   20 169,   17 935,   17 450,   742 109,3,   3 271.45,   1 933
São Paulo,Cubatão - SP,   2 398,   29 863,   27 438,   27 119,  1 629 557,4.2,   4 622.24,   2 295
São Paulo,Cunha - SP,   1 109,   2 876,   1 815,   1 825,   52 461,2,   2 211.48,   1 026
São Paulo,Descalvado - SP,   1 522,   10 767,   8 838,   9 438,   336 219,2.5,   2 740.25,   1 478
São Paulo,Diadema - SP,   9 713,   102 164,   90 826,   87 720,  3 807 866,3,   3 339.20,   9 381
São Paulo,Dirce Reis - SP,42,308,285,281,   11 422,2.8,   3 129.52,36
São Paulo,Divinolândia - SP,   2 513,   4 783,   2 304,   2 213,   68 723,2.2,   2 388.38,   2 344
São Paulo,Dobrada - SP,178,978,792,846,   25 576,2.1,   2 326.65,166
São Paulo,Dois Córregos - SP,   1 551,   6 346,   4 833,   5 072,   147 642,2,   2 239.00,   1 330
São Paulo,Dolcinópolis - SP,51,321,273,267,   9 021,2.4,   2 594.18,49
São Paulo,Dourado - SP,351,   3 222,   2 823,   2 822,   101 756,2.5,   2 773.72,343
São Paulo,Dracena - SP,   2 217,   14 921,   12 152,   12 048,   340 696,2,   2 175.24,   2 144
São Paulo,Duartina - SP,493,   2 472,   1 905,   1 901,   54 472,2,   2 203.66,485
São Paulo,Dumont - SP,362,   2 271,   1 890,   1 899,   69 227,2.5,   2 804.09,348
São Paulo,Echaporã - SP,179,986,788,789,   22 470,2,   2 191.91,177
São Paulo,Eldorado - SP,204,   1 409,   1 157,   1 132,   31 714,2,   2 155.47,202
São Paulo,Elias Fausto - SP,530,   5 761,   5 194,   5 803,   202 970,2.4,   2 690.47,522
São Paulo,Elisiário - SP,94,460,356,401,   14 890,2.6,   2 859.60,93
São Paulo,Embaúba - SP,129,402,319,299,   9 563,2.2,   2 461.94,99
São Paulo,Embu das Artes - SP,   4 223,   48 293,   43 854,   43 796,  1 747 388,2.8,   3 069.08,   4 076
São Paulo,Embu-Guaçu - SP,   1 233,   9 359,   7 881,   7 873,   284 242,2.5,   2 777.19,   1 210
São Paulo,Emilianópolis - SP,171,433,306,324,   9 039,1.9,   2 144.09,133
São Paulo,Engenheiro Coelho - SP,582,   4 823,   4 181,   4 273,   158 039,2.6,   2 844.73,557
São Paulo,Espírito Santo do Pinhal - SP,   1 606,   13 565,   11 553,   11 639,   372 480,2.2,   2 461.72,   1 557
São Paulo,Espírito Santo do Turvo - SP,279,662,428,433,   13 054,2.1,   2 317.87,256
São Paulo,Estrela d'Oeste - SP,332,   3 522,   3 191,   3 363,   109 652,2.3,   2 508.09,309
São Paulo,Estrela do Norte - SP,59,359,300,288,   8 374,2,   2 234.81,59
São Paulo,Euclides da Cunha Paulista - SP,189,846,645,633,   17 218,1.9,   2 091.34,185
São Paulo,Fartura - SP,655,   4 116,   3 367,   3 392,   82 411,1.7,   1 868.64,633
São Paulo,Fernandópolis - SP,   3 618,   20 292,   15 833,   15 961,   463 460,2,   2 233.58,   3 487
São Paulo,Fernando Prestes - SP,275,   1 670,   1 354,   1 440,   37 918,1.8,   2 024.93,255
São Paulo,Fernão - SP,62,294,236,252,   8 646,2.4,   2 643.75,58
São Paulo,Ferraz de Vasconcelos - SP,   2 509,   23 093,   20 336,   20 157,   682 731,2.4,   2 605.41,   2 436
São Paulo,Flora Rica - SP,128,299,202,192,   5 169,1.9,   2 069.02,110
São Paulo,Floreal - SP,145,526,394,403,   11 583,2,   2 208.90,138
São Paulo,Flórida Paulista - SP,339,   1 591,   1 243,   1 301,   37 375,2,   2 210.57,320
São Paulo,Florínia - SP,61,392,345,341,   10 005,2,   2 254.67,59
São Paulo,Franca - SP,   16 346,   105 096,   85 070,   84 421,  2 558 082,2.1,   2 330.88,   15 738
São Paulo,Francisco Morato - SP,   1 664,   11 261,   9 489,   9 521,   293 703,2.2,   2 372.96,   1 623
São Paulo,Franco da Rocha - SP,   2 248,   19 457,   16 840,   17 127,   624 581,2.6,   2 805.26,   2 168
São Paulo,Gabriel Monteiro - SP,298,   1 171,876,856,   19 154,1.6,   1 720.57,282
São Paulo,Gália - SP,207,   1 215,   1 005,   1 057,   25 719,1.7,   1 871.00,190
São Paulo,Garça - SP,   1 673,   13 605,   11 471,   9 796,   326 245,2.3,   2 561.86,   1 628
São Paulo,Gastão Vidigal - SP,104,379,289,291,   11 134,2.7,   2 944.57,92
São Paulo,Gavião Peixoto - SP,170,   3 878,   3 716,   3 589,   280 439,5.5,   6 011.26,157
São Paulo,General Salgado - SP,884,   2 066,   1 327,   1 516,   49 531,2.3,   2 513.80,748
São Paulo,Getulina - SP,170,818,663,671,   21 273,2.2,   2 439.77,155
São Paulo,Glicério - SP,158,764,611,621,   16 586,1.9,   2 054.27,150
São Paulo,Guaiçara - SP,253,   1 721,   1 476,   1 405,   45 612,2.3,   2 497.07,236
São Paulo,Guaimbê - SP,112,523,422,408,   11 540,2,   2 174.74,112
São Paulo,Guaíra - SP,   2 053,   15 205,   13 359,   13 524,   472 358,2.4,   2 686.79,   1 719
São Paulo,Guapiaçu - SP,871,   5 796,   4 894,   4 945,   188 915,2.7,   2 938.85,790
São Paulo,Guapiara - SP,   1 097,   2 836,   1 767,   1 747,   44 634,1.8,   1 965.65,   1 078
São Paulo,Guará - SP,549,   3 651,   3 100,   3 118,   101 192,2.3,   2 496.54,540
São Paulo,Guaraçaí - SP,661,   1 604,980,998,   28 006,2,   2 158.57,575
São Paulo,Guaraci - SP,222,   2 574,   2 355,   2 379,   83 258,2.4,   2 691.93,217
São Paulo,Guarani d'Oeste - SP,85,400,322,302,   7 224,1.7,   1 839.96,78
São Paulo,Guarantã - SP,224,   1 088,891,907,   25 186,1.9,   2 136.69,216
São Paulo,Guararapes - SP,   1 121,   7 337,   6 086,   6 230,   191 665,2.2,   2 366.57,   1 084
São Paulo,Guararema - SP,   1 288,   8 806,   7 380,   7 177,   326 670,3.2,   3 501.49,   1 248
São Paulo,Guaratinguetá - SP,   4 239,   33 538,   28 788,   28 541,  1 246 005,3.1,   3 358.24,   4 010
São Paulo,Guareí - SP,677,   2 879,   2 212,   2 262,   59 855,1.9,   2 035.66,663
São Paulo,Guariba - SP,   1 256,   8 703,   7 358,   7 574,   256 535,2.4,   2 605.39,   1 224
São Paulo,Guarujá - SP,   7 679,   54 518,   47 288,   46 206,  2 001 570,3,   3 332.18,   7 378
São Paulo,Guarulhos - SP,   36 075,   377 441,   336 525,   334 558,  14 171 711,3,   3 258.43,   34 262
São Paulo,Guatapará - SP,226,   1 491,   1 257,   1 213,   41 541,2.4,   2 634.61,215
São Paulo,Guzolândia - SP,142,554,428,481,   13 527,2,   2 165.29,133
São Paulo,Herculândia - SP,269,   1 358,   1 058,   1 042,   33 399,2.2,   2 465.30,262
São Paulo,Holambra - SP,969,   9 720,   8 443,   7 707,   284 110,2.6,   2 835.86,949
São Paulo,Hortolândia - SP,   5 651,   55 322,   48 701,   49 801,  2 703 103,3.8,   4 175.26,   5 502
São Paulo,Iacanga - SP,421,   2 406,   2 016,   2 965,   71 606,1.7,   1 857.69,403
São Paulo,Iacri - SP,246,   1 116,809,835,   24 425,2,   2 249.48,236
São Paulo,Iaras - SP,113,   1 752,   1 672,   1 693,   63 051,2.6,   2 865.24,103
São Paulo,Ibaté - SP,   1 035,   7 669,   6 520,   6 571,   223 825,2.4,   2 620.33,   1 025
São Paulo,Ibirá - SP,523,   2 746,   2 142,   2 101,   60 880,2,   2 228.80,506
São Paulo,Ibirarema - SP,200,   1 056,816,993,   32 046,2.3,   2 482.21,198
São Paulo,Ibitinga - SP,   3 928,   18 916,   15 037,   15 407,   371 057,1.7,   1 852.58,   3 444
São Paulo,Ibiúna - SP,   1 749,   14 052,   11 889,   11 548,   394 675,2.4,   2 629.05,   1 704
São Paulo,Icém - SP,179,   1 233,   1 057,   1 042,   34 230,2.3,   2 526.81,175
São Paulo,Iepê - SP,217,   1 215,980,983,   30 692,2.2,   2 402.60,212
São Paulo,Igaraçu do Tietê - SP,574,   2 988,   2 271,   2 347,   67 585,2,   2 214.65,564
São Paulo,Igarapava - SP,993,   6 301,   5 273,   5 556,   179 640,2.3,   2 487.04,968
São Paulo,Igaratá - SP,263,   1 836,   1 535,   1 514,   43 055,2,   2 186.97,256
São Paulo,Iguape - SP,520,   3 023,   2 538,   2 517,   77 410,2.2,   2 366.20,505
São Paulo,Ilhabela - SP,   1 520,   11 253,   9 653,   9 132,   365 493,2.8,   3 078.62,   1 496
São Paulo,Ilha Comprida - SP,282,   1 922,   1 613,   1 487,   52 191,2.5,   2 699.72,278
São Paulo,Ilha Solteira - SP,947,   5 735,   4 568,   4 704,   196 699,2.9,   3 216.82,931
São Paulo,Indaiatuba - SP,   12 947,   97 434,   81 549,   79 437,  3 886 903,3.4,   3 763.88,   12 624
São Paulo,Indiana - SP,130,728,601,577,   15 543,1.9,   2 072.04,126
São Paulo,Indiaporã - SP,140,606,459,463,   13 428,2,   2 229.14,134
São Paulo,Inúbia Paulista - SP,145,   1 007,876,836,   25 825,2.2,   2 376.94,139
São Paulo,Ipaussu - SP,439,   3 661,   3 237,   3 355,   109 164,2.3,   2 502.54,420
São Paulo,Iperó - SP,653,   9 101,   8 382,   7 553,   245 199,2.3,   2 497.07,639
São Paulo,Ipeúna - SP,220,   2 041,   1 792,   1 811,   64 041,2.5,   2 719.90,213
São Paulo,Ipiguá - SP,132,   1 299,   1 151,   1 051,   32 324,2.2,   2 366.10,127
São Paulo,Iporanga - SP,75,516,442,465,   11 958,1.8,   1 978.82,73
São Paulo,Ipuã - SP,452,   2 845,   2 391,   2 433,   67 782,1.9,   2 142.80,442
São Paulo,Iracemápolis - SP,896,   7 976,   6 879,   7 056,   219 979,2.2,   2 398.24,877
São Paulo,Irapuã - SP,349,   1 237,880,852,   21 401,1.8,   1 932.03,329
São Paulo,Irapuru - SP,256,854,649,626,   22 273,2.5,   2 738.88,229
São Paulo,Itaberá - SP,828,   3 235,   2 370,   2 364,   74 260,2.2,   2 416.84,789
São Paulo,Itaí - SP,659,   4 652,   3 955,   3 889,   127 539,2.3,   2 522.92,619
São Paulo,Itajobi - SP,   1 485,   4 830,   3 411,   3 655,   99 023,1.9,   2 083.76,   1 254
São Paulo,Itaju - SP,142,789,640,613,   15 873,1.8,   1 991.15,124
São Paulo,Itanhaém - SP,   2 172,   16 000,   13 715,   13 378,   421 761,2.2,   2 425.10,   2 090
São Paulo,Itaóca - SP,74,378,316,305,   10 677,2.4,   2 689.25,71
São Paulo,Itapecerica da Serra - SP,   2 843,   26 427,   23 157,   23 072,   800 361,2.4,   2 668.49,   2 762
São Paulo,Itapetininga - SP,   5 486,   40 908,   34 691,   34 641,  1 063 282,2.1,   2 361.10,   5 228
São Paulo,Itapeva - SP,   3 945,   22 716,   18 698,   18 589,   558 704,2.1,   2 311.93,   3 727
São Paulo,Itapevi - SP,   3 111,   38 552,   35 282,   35 512,  1 575 311,3.1,   3 412.28,   2 997
São Paulo,Itapira - SP,   3 115,   27 819,   23 925,   23 743,   937 281,2.8,   3 036.66,   3 025
São Paulo,Itapirapuã Paulista - SP,167,644,483,495,   12 127,1.7,   1 884.21,163
São Paulo,Itápolis - SP,   3 992,   12 420,   8 979,   8 630,   263 415,2.1,   2 347.97,   3 085
São Paulo,Itaporanga - SP,667,   2 618,   1 979,   2 057,   49 078,1.7,   1 835.40,617
São Paulo,Itapuí - SP,382,   5 266,   4 812,   4 746,   140 573,2.1,   2 278.28,372
São Paulo,Itapura - SP,98,750,662,692,   16 083,1.6,   1 788.63,95
São Paulo,Itaquaquecetuba - SP,   5 556,   52 814,   47 084,   46 479,  1 617 126,2.4,   2 676.33,   5 320
São Paulo,Itararé - SP,   1 406,   8 626,   7 198,   7 289,   191 680,1.8,   2 022.94,   1 365
São Paulo,Itariri - SP,242,   1 666,   1 409,   1 409,   48 746,2.4,   2 661.72,239
São Paulo,Itatiba - SP,   4 891,   40 952,   34 363,   34 504,  1 460 329,3,   3 255.68,   4 762
São Paulo,Itatinga - SP,716,   3 505,   2 728,   2 698,   77 951,2,   2 222.41,676
São Paulo,Itirapina - SP,435,   7 471,   7 000,   6 876,   287 559,2.9,   3 216.85,414
São Paulo,Itirapuã - SP,240,607,381,378,   11 213,2.1,   2 279.64,223
São Paulo,Itobi - SP,250,   1 096,846,778,   19 825,1.8,   1 958.96,239
São Paulo,Itu - SP,   7 238,   64 441,   55 055,   54 640,  2 213 439,2.8,   3 116.12,   7 041
São Paulo,Itupeva - SP,   2 751,   32 646,   29 325,   29 146,  1 342 523,3.2,   3 543.26,   2 678
São Paulo,Ituverava - SP,   1 467,   8 555,   6 940,   6 844,   211 986,2.2,   2 382.45,   1 406
São Paulo,Jaborandi - SP,114,846,730,772,   23 560,2.1,   2 348.98,113
São Paulo,Jaboticabal - SP,   3 357,   26 321,   21 905,   21 966,   883 259,2.8,   3 093.14,   3 164
São Paulo,Jacareí - SP,   6 352,   56 885,   49 403,   49 276,  2 209 414,3.1,   3 449.06,   6 120
São Paulo,Jaci - SP,256,   3 342,   3 070,   3 120,   100 810,2.3,   2 485.71,246
São Paulo,Jacupiranga - SP,409,   3 076,   2 632,   2 561,   70 185,1.9,   2 108.51,398
São Paulo,Jaguariúna - SP,   2 632,   39 155,   36 008,   34 759,  1 815 622,3.7,   4 018.05,   2 559
São Paulo,Jales - SP,   2 551,   14 458,   11 340,   11 429,   358 968,2.2,   2 415.95,   2 475
São Paulo,Jambeiro - SP,207,   3 217,   2 978,   3 515,   144 852,2.9,   3 169.78,197
São Paulo,Jandira - SP,   2 443,   23 322,   20 705,   20 490,   904 734,3.1,   3 396.46,   2 389
São Paulo,Jardinópolis - SP,   1 352,   10 485,   8 672,   8 400,   293 424,2.4,   2 686.90,   1 323
São Paulo,Jarinu - SP,   1 043,   9 660,   8 593,   8 197,   356 354,3,   3 344.01,   1 019
São Paulo,Jaú - SP,   5 947,   45 112,   37 443,   36 238,  1 130 713,2.2,   2 400.21,   5 723
São Paulo,Jeriquara - SP,169,569,423,460,   13 184,2,   2 206.32,143
São Paulo,Joanópolis - SP,563,   2 835,   2 236,   2 236,   59 074,1.8,   2 032.25,558
São Paulo,João Ramalho - SP,99,413,313,328,   10 387,2.2,   2 433.99,97
São Paulo,José Bonifácio - SP,   1 659,   10 821,   8 856,   9 244,   261 755,2,   2 178.10,   1 624
São Paulo,Júlio Mesquita - SP,117,589,464,446,   11 449,1.8,   1 973.57,115
São Paulo,Jumirim - SP,148,   1 598,   1 436,   1 444,   45 433,2.2,   2 421.03,132
São Paulo,Jundiaí - SP,   22 925,   206 743,   177 226,   174 770,  8 313 319,3.3,   3 659.02,   21 969
São Paulo,Junqueirópolis - SP,   1 203,   6 823,   5 565,   5 607,   182 626,2.3,   2 505.42,   1 107
São Paulo,Juquiá - SP,274,   2 085,   1 808,   1 740,   45 261,1.8,   2 001.45,265
São Paulo,Juquitiba - SP,644,   5 167,   4 476,   4 437,   103 886,1.6,   1 801.22,636
São Paulo,Lagoinha - SP,486,959,486,508,   13 441,1.9,   2 036.45,465
São Paulo,Laranjal Paulista - SP,   1 615,   10 912,   9 357,   9 997,   298 105,2.1,   2 293.92,   1 402
São Paulo,Lavínia - SP,251,709,523,518,   18 898,2.5,   2 804.96,190
São Paulo,Lavrinhas - SP,116,877,752,734,   20 867,2,   2 188.16,108
São Paulo,Leme - SP,   3 533,   28 495,   24 161,   23 733,   795 814,2.3,   2 579.41,   3 388
São Paulo,Lençóis Paulista - SP,   2 742,   28 019,   24 437,   27 178,  1 124 309,2.9,   3 182.19,   2 649
São Paulo,Limeira - SP,   14 266,   103 425,   85 930,   84 125,  3 459 249,2.9,   3 163.10,   13 460
São Paulo,Lindóia - SP,277,   2 171,   1 831,   1 868,   53 289,2,   2 194.27,273
