ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
351290,202005,384,3855.0
351300,202005,5595,64708.0
351310,202005,1354,22356.0
351320,202005,296,5178.0
351330,202005,76,839.0
351340,202005,2928,13896.0
351350,202005,6637,64038.0
351360,202005,1718,3826.0
351370,202005,649,6011.0
351380,202005,18503,235892.0
351385,202005,59,349.0
351390,202005,475,6123.0
351400,202005,402,6382.0
351410,202005,984,12439.0
351420,202005,72,1317.0
351430,202005,415,8058.0
351440,202005,821,7895.0
351450,202005,379,2066.0
351460,202005,317,3797.0
351470,202005,447,5152.0
351480,202005,1117,9677.0
351490,202005,962,13883.0
351492,202005,141,2176.0
351495,202005,61,180.0
351500,202005,16273,205830.0
351510,202005,4586,38596.0
351512,202005,156,989.0
351515,202005,682,8569.0
351518,202005,917,16966.0
351519,202005,127,1457.0
351520,202005,219,3130.0
351530,202005,79,314.0
351535,202005,786,3280.0
351540,202005,652,5740.0
351550,202005,2047,29139.0
351560,202005,134,2371.0
351565,202005,72,82.0
351570,202005,9299,112795.0
351580,202005,68,89.0
351590,202005,104,431.0
351600,202005,641,5978.0
351610,202005,241,1902.0
351620,202005,8303,84608.0
351630,202005,13041,150083.0
351640,202005,8067,116274.0
351650,202005,58,756.0
351660,202005,147,1021.0
351670,202005,2062,19495.0
351680,202005,97,0.0
351685,202005,175,2792.0
351690,202005,298,1855.0
351700,202005,554,5488.0
351710,202005,197,3128.0
351720,202005,376,3316.0
351730,202005,426,4471.0
351740,202005,1556,14218.0
351750,202005,383,5820.0
351760,202005,1148,7252.0
351770,202005,896,5973.0
351780,202005,307,741.0
351790,202005,559,5530.0
351800,202005,100,1282.0
351810,202005,449,2860.0
351820,202005,753,5014.0
351830,202005,1744,19673.0
351840,202005,3553,35351.0
351850,202005,475,3212.0
351860,202005,1296,21666.0
351870,202005,9717,66682.0
351880,202005,48813,464731.0
351885,202005,452,5369.0
351890,202005,182,2013.0
351900,202005,527,3553.0
351905,202005,103,2011.0
351907,202005,9065,122566.0
351910,202005,441,2009.0
351920,202005,307,3949.0
351925,202005,353,2423.0
351930,202005,1867,28044.0
351940,202005,450,4095.0
351950,202005,640,4331.0
351960,202005,1874,27695.0
351970,202005,3449,32479.0
351980,202005,331,2279.0
351990,202005,462,4740.0
352000,202005,1310,19164.0
352010,202005,696,8025.0
352020,202005,599,3669.0
352030,202005,2631,17102.0
352040,202005,841,7853.0
352042,202005,874,4857.0
352044,202005,378,2824.0
352050,202005,2563,29718.0
352060,202005,237,1115.0
352070,202005,220,2323.0
352080,202005,104,1505.0
352090,202005,590,4559.0
352100,202005,1433,11781.0
352110,202005,213,3574.0
352115,202005,194,1102.0
352120,202005,406,1990.0
352130,202005,655,11442.0
352140,202005,428,6192.0
352150,202005,333,2488.0
352160,202005,424,1768.0
352170,202005,1508,10587.0
352180,202005,899,7357.0
352190,202005,480,3606.0
352200,202005,102,2355.0
352210,202005,8789,85463.0
352215,202005,395,742.0
352220,202005,5917,55095.0
352230,202005,5139,40339.0
352240,202005,4491,22308.0
352250,202005,12179,146508.0
352260,202005,1889,21282.0
352265,202005,562,2024.0
352270,202005,538,5581.0
352280,202005,1222,8771.0
352290,202005,486,10523.0
352300,202005,320,2073.0
352310,202005,18485,129643.0
352320,202005,3014,17942.0
352330,202005,1011,10129.0
352340,202005,2179,30875.0
352350,202005,931,13622.0
352360,202005,631,15430.0
352370,202005,619,8145.0
352380,202005,299,4755.0
352390,202005,5760,97923.0
352400,202005,1774,36156.0
