CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Município
Período:Abr/2024
"Município";"Quantidade_existente"
"150655 SANTA LUZIA DO PARA";16
"150658 SANTA MARIA DAS BARREIRAS";46
"150660 SANTA MARIA DO PARA";51
"150670 SANTANA DO ARAGUAIA";66
"150680 SANTAREM";394
"150700 SANTO ANTONIO DO TAUA";85
"150710 SAO CAETANO DE ODIVELAS";20
"150715 SAO DOMINGOS DO ARAGUAIA";21
"150720 SAO DOMINGOS DO CAPIM";31
"150730 SAO FELIX DO XINGU";143
"150745 SAO GERALDO DO ARAGUAIA";41
"150747 SAO JOAO DE PIRABAS";24
"150750 SAO JOAO DO ARAGUAIA";19
"150760 SAO MIGUEL DO GUAMA";61
"150770 SAO SEBASTIAO DA BOA VISTA";32
"150775 SAPUCAIA";14
"150780 SENADOR JOSE PORFIRIO";14
"150790 SOURE";48
"150795 TAILANDIA";40
"150797 TERRA SANTA";26
"150800 TOME-ACU";87
"150803 TRACUATEUA";15
"150805 TRAIRAO";21
"150808 TUCUMA";99
"150810 TUCURUI";279
"150812 ULIANOPOLIS";100
"150815 URUARA";81
"150820 VIGIA";37
"150830 VISEU";65
"150835 VITORIA DO XINGU";42
"150840 XINGUARA";119
"160005 SERRA DO NAVIO";30
"160010 AMAPA";37
"160015 PEDRA BRANCA DO AMAPARI";16
"160020 CALCOENE";20
"160023 FERREIRA GOMES";13
"160027 LARANJAL DO JARI";73
"160030 MACAPA";1163
"160040 MAZAGAO";14
"160050 OIAPOQUE";51
"160053 PORTO GRANDE";34
"160060 SANTANA";137
"160070 TARTARUGALZINHO";18
"160080 VITORIA DO JARI";8
"170070 ALVORADA";32
"170100 ANANAS";20
"170190 ARAGUACEMA";17
"170200 ARAGUACU";31
"170210 ARAGUAINA";598
"170220 ARAGUATINS";25
"170230 ARAPOEMA";28
"170240 ARRAIAS";50
"170255 AUGUSTINOPOLIS";80
"170305 BANDEIRANTES DO TOCANTINS";3
"170370 BREJINHO DE NAZARE";5
"170550 COLINAS DO TOCANTINS";69
"170610 CRISTALANDIA";27
"170700 DIANOPOLIS";45
"170710 DIVINOPOLIS DO TOCANTINS";31
"170730 DUERE";14
"170765 FIGUEIROPOLIS";5
"170770 FILADELFIA";5
"170820 FORMOSO DO ARAGUAIA";19
"170900 GOIATINS";16
"170930 GUARAI";62
"170950 GURUPI";248
"171050 ITACAJA";27
"171190 LAGOA DA CONFUSAO";30
"171250 MARIANOPOLIS DO TOCANTINS";25
"171320 MIRACEMA DO TOCANTINS";72
"171330 MIRANORTE";20
"171360 MONTE DO CARMO";15
"171420 NATIVIDADE";13
"171575 PALMEIROPOLIS";32
"171610 PARAISO DO TOCANTINS";103
"171620 PARANA";24
"171650 PEDRO AFONSO";31
"171660 PEIXE";27
"171670 COLMEIA";21
"171700 PINDORAMA DO TOCANTINS";15
"171750 PIUM";21
"171780 PONTE ALTA DO BOM JESUS";2
"171790 PONTE ALTA DO TOCANTINS";7
"171820 PORTO NACIONAL";154
"172065 SILVANOPOLIS";14
"172080 SITIO NOVO DO TOCANTINS";20
"172090 TAGUATINGA";24
"172100 PALMAS";1046
"172120 TOCANTINOPOLIS";38
"172210 XAMBIOA";31
"210005 ACAILANDIA";257
"210010 AFONSO CUNHA";24
"210020 ALCANTARA";20
"210030 ALDEIAS ALTAS";24
"210043 ALTO ALEGRE DO MARANHAO";50
"210047 ALTO ALEGRE DO PINDARE";43
"210050 ALTO PARNAIBA";31
"210055 AMAPA DO MARANHAO";11
"210060 AMARANTE DO MARANHAO";94
"210070 ANAJATUBA";27
"210080 ANAPURUS";16
"210083 APICUM-ACU";15
"210087 ARAGUANA";17
"210090 ARAIOSES";117
"210095 ARAME";58
"210100 ARARI";48
"210110 AXIXA";25
"210120 BACABAL";207
"210125 BACABEIRA";26
"210130 BACURI";23
"210140 BALSAS";155
"210150 BARAO DE GRAJAU";31
"210160 BARRA DO CORDA";215
"210170 BARREIRINHAS";58
"210173 BELAGUA";7
"210177 BELA VISTA DO MARANHAO";18
"210180 BENEDITO LEITE";14
"210190 BEQUIMAO";18
"210193 BERNARDO DO MEARIM";15
"210197 BOA VISTA DO GURUPI";15
"210200 BOM JARDIM";36
"210203 BOM JESUS DAS SELVAS";22
"210210 BREJO";37
"210220 BURITI";27
"210230 BURITI BRAVO";44
"210232 BURITICUPU";69
"210235 BURITIRANA";20
"210240 CAJAPIO";19
"210250 CAJARI";20
"210255 CAMPESTRE DO MARANHAO";21
"210260 CANDIDO MENDES";21
"210270 CANTANHEDE";59
"210275 CAPINZAL DO NORTE";13
"210280 CAROLINA";43
"210290 CARUTAPERA";46
"210300 CAXIAS";354
"210310 CEDRAL";13
"210312 CENTRAL DO MARANHAO";15
"210317 CENTRO NOVO DO MARANHAO";14
"210320 CHAPADINHA";167
"210325 CIDELANDIA";21
"210330 CODO";104
"210340 COELHO NETO";129
"210350 COLINAS";135
"210355 CONCEICAO DO LAGO-ACU";15
"210360 COROATA";94
"210370 CURURUPU";109
"210375 DAVINOPOLIS";1
"210380 DOM PEDRO";29
"210390 DUQUE BACELAR";26
"210400 ESPERANTINOPOLIS";44
"210405 ESTREITO";54
"210407 FEIRA NOVA DO MARANHAO";20
"210408 FERNANDO FALCAO";18
"210409 FORMOSA DA SERRA NEGRA";13
"210410 FORTALEZA DOS NOGUEIRAS";31
"210420 FORTUNA";20
"210440 GONCALVES DIAS";29
"210450 GOVERNADOR ARCHER";24
"210455 GOVERNADOR EDISON LOBAO";35
"210460 GOVERNADOR EUGENIO BARROS";35
"210462 GOVERNADOR LUIZ ROCHA";20
"210465 GOVERNADOR NEWTON BELLO";25
"210467 GOVERNADOR NUNES FREIRE";204
"210470 GRACA ARANHA";18
"210480 GRAJAU";252
"210490 GUIMARAES";36
"210500 HUMBERTO DE CAMPOS";30
"210510 ICATU";34
"210515 IGARAPE DO MEIO";42
"210520 IGARAPE GRANDE";37
"210530 IMPERATRIZ";820
"210535 ITAIPAVA DO GRAJAU";25
"210540 ITAPECURU MIRIM";74
"210542 ITINGA DO MARANHAO";76
"210545 JATOBA";16
"210547 JENIPAPO DOS VIEIRAS";20
"210550 JOAO LISBOA";64
"210560 JOSELANDIA";22
"210565 JUNCO DO MARANHAO";3
"210570 LAGO DA PEDRA";148
"210580 LAGO DO JUNCO";20
"210590 LAGO VERDE";45
"210592 LAGOA DO MATO";23
"210594 LAGO DOS RODRIGUES";18
"210596 LAGOA GRANDE DO MARANHAO";19
"210600 LIMA CAMPOS";27
"210610 LORETO";20
"210620 LUIS DOMINGUES";9
"210630 MAGALHAES DE ALMEIDA";20
"210632 MARACACUME";11
"210637 MARANHAOZINHO";18
"210640 MATA ROMA";23
"210650 MATINHA";17
"210660 MATOES";50
"210663 MATOES DO NORTE";2
"210667 MILAGRES DO MARANHAO";12
"210670 MIRADOR";22
"210675 MIRANDA DO NORTE";52
"210680 MIRINZAL";17
"210690 MONCAO";70
"210700 MONTES ALTOS";24
"210710 MORROS";38
"210720 NINA RODRIGUES";24
"210725 NOVA COLINAS";24
"210730 NOVA IORQUE";15
"210735 NOVA OLINDA DO MARANHAO";60
"210740 OLHO D'AGUA DAS CUNHAS";20
"210745 OLINDA NOVA DO MARANHAO";50
"210750 PACO DO LUMIAR";26
"210760 PALMEIRANDIA";17
"210770 PARAIBANO";48
"210780 PARNARAMA";51
"210790 PASSAGEM FRANCA";116
"210800 PASTOS BONS";55
"210805 PAULINO NEVES";20
"210810 PAULO RAMOS";35
"210820 PEDREIRAS";165
"210825 PEDRO DO ROSARIO";36
"210830 PENALVA";62
"210840 PERI MIRIM";27
"210845 PERITORO";62
"210850 PINDARE-MIRIM";40
"210860 PINHEIRO";242
"210870 PIO XII";44
"210880 PIRAPEMAS";24
"210890 POCAO DE PEDRAS";29
"210900 PORTO FRANCO";62
"210905 PORTO RICO DO MARANHAO";28
"210910 PRESIDENTE DUTRA";194
"210920 PRESIDENTE JUSCELINO";15
"210923 PRESIDENTE MEDICI";24
"210927 PRESIDENTE SARNEY";15
"210930 PRESIDENTE VARGAS";22
"210940 PRIMEIRA CRUZ";19
"210945 RAPOSA";55
"210950 RIACHAO";51
"210955 RIBAMAR FIQUENE";7
"210960 ROSARIO";123
"210970 SAMBAIBA";32
"210975 SANTA FILOMENA DO MARANHAO";17
"210980 SANTA HELENA";61
"210990 SANTA INES";309
"211000 SANTA LUZIA";58
"211003 SANTA LUZIA DO PARUA";80
"211010 SANTA QUITERIA DO MARANHAO";42
"211020 SANTA RITA";35
"211023 SANTANA DO MARANHAO";16
"211027 SANTO AMARO DO MARANHAO";20
"211030 SANTO ANTONIO DOS LOPES";30
"211040 SAO BENEDITO DO RIO PRETO";32
"211050 SAO BENTO";49
"211060 SAO BERNARDO";27
"211065 SAO DOMINGOS DO AZEITAO";20
"211070 SAO DOMINGOS DO MARANHAO";50
"211080 SAO FELIX DE BALSAS";22
"211085 SAO FRANCISCO DO BREJAO";24
"211090 SAO FRANCISCO DO MARANHAO";25
"211100 SAO JOAO BATISTA";50
"211102 SAO JOAO DO CARU";35
"211105 SAO JOAO DO PARAISO";20
"211107 SAO JOAO DO SOTER";20
"211110 SAO JOAO DOS PATOS";54
"211120 SAO JOSE DE RIBAMAR";106
"211125 SAO JOSE DOS BASILIOS";20
"211130 SAO LUIS";4448
"211140 SAO LUIS GONZAGA DO MARANHAO";31
"211150 SAO MATEUS DO MARANHAO";70
"211153 SAO PEDRO DA AGUA BRANCA";26
"211157 SAO PEDRO DOS CRENTES";18
"211160 SAO RAIMUNDO DAS MANGABEIRAS";57
"211163 SAO RAIMUNDO DO DOCA BEZERRA";12
"211170 SAO VICENTE FERRER";56
"211172 SATUBINHA";39
"211174 SENADOR ALEXANDRE COSTA";20
"211178 SERRANO DO MARANHAO";21
"211180 SITIO NOVO";34
"211190 SUCUPIRA DO NORTE";24
"211195 SUCUPIRA DO RIACHAO";16
"211200 TASSO FRAGOSO";18
"211210 TIMBIRAS";50
"211220 TIMON";145
