CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Município
Período:Abr/2024
"Município";"Quantidade_existente"
"311070 CAMBUQUIRA";36
"311090 CAMPANHA";22
"311100 CAMPESTRE";46
"311110 CAMPINA VERDE";37
"311120 CAMPO BELO";115
"311130 CAMPO DO MEIO";16
"311150 CAMPOS ALTOS";38
"311160 CAMPOS GERAIS";51
"311180 CANAPOLIS";25
"311200 CANDEIAS";22
"311230 CAPELINHA";54
"311240 CAPETINGA";11
"311260 CAPINOPOLIS";22
"311280 CAPITOLIO";17
"311300 CARAI";44
"311320 CARANDAI";46
"311330 CARANGOLA";201
"311340 CARATINGA";233
"311350 CARBONITA";21
"311360 CAREACU";20
"311370 CARLOS CHAGAS";50
"311380 CARMESIA";10
"311390 CARMO DA CACHOEIRA";37
"311400 CARMO DA MATA";10
"311410 CARMO DE MINAS";29
"311430 CARMO DO PARANAIBA";47
"311440 CARMO DO RIO CLARO";30
"311450 CARMOPOLIS DE MINAS";38
"311460 CARRANCAS";21
"311510 CASSIA";56
"311530 CATAGUASES";121
"311550 CAXAMBU";33
"311570 CENTRAL DE MINAS";22
"311580 CENTRALINA";19
"311615 CHAPADA GAUCHA";18
"311630 CIPOTANEA";14
"311660 CLAUDIO";41
"311680 COLUNA";38
"311690 COMENDADOR GOMES";5
"311710 CONCEICAO DA APARECIDA";19
"311730 CONCEICAO DAS ALAGOAS";22
"311750 CONCEICAO DO MATO DENTRO";43
"311770 CONCEICAO DO RIO VERDE";34
"311800 CONGONHAS";86
"311820 CONQUISTA";15
"311830 CONSELHEIRO LAFAIETE";242
"311840 CONSELHEIRO PENA";56
"311860 CONTAGEM";677
"311880 CORACAO DE JESUS";40
"311930 COROMANDEL";30
"311940 CORONEL FABRICIANO";137
"312020 CRISTAIS";19
"312050 CRISTINA";25
"312080 CRUZILIA";66
"312090 CURVELO";189
"312100 DATAS";21
"312120 DELFINOPOLIS";19
"312160 DIAMANTINA";179
"312180 DIONISIO";9
"312200 DIVINO";37
"312210 DIVINO DAS LARANJEIRAS";21
"312230 DIVINOPOLIS";650
"312235 DIVISA ALEGRE";1
"312240 DIVISA NOVA";7
"312245 DIVISOPOLIS";1
"312260 DOM JOAQUIM";19
"312270 DOM SILVERIO";27
"312320 DORES DO INDAIA";40
"312360 ELOI MENDES";40
"312390 ENTRE RIOS DE MINAS";52
"312400 ERVALIA";16
"312410 ESMERALDAS";57
"312420 ESPERA FELIZ";45
"312430 ESPINOSA";40
"312450 ESTIVA";25
"312470 ESTRELA DO INDAIA";21
"312480 ESTRELA DO SUL";4
"312490 EUGENOPOLIS";27
"312510 EXTREMA";71
"312550 SAO GONCALO DO RIO PRETO";8
"312560 FELISBURGO";45
"312590 FERROS";25
"312595 FERVEDOURO";19
"312610 FORMIGA";99
"312620 FORMOSO";10
"312650 FRANCISCO BADARO";11
"312670 FRANCISCO SA";50
"312690 FREI INOCENCIO";16
"312710 FRUTAL";85
"312760 GOUVEIA";28
"312770 GOVERNADOR VALADARES";570
"312780 GRAO MOGOL";50
"312800 GUANHAES";90
"312810 GUAPE";29
"312820 GUARACIABA";23
"312830 GUARANESIA";37
"312860 GUARDA-MOR";18
"312870 GUAXUPE";119
"312910 GURINHATA";12
"312940 IBERTIOGA";23
"312950 IBIA";29
"312970 IBIRACI";12
"312980 IBIRITE";92
"313010 IGARAPE";37
"313030 IGUATAMA";30
"313050 ILICINEA";40
"313090 INHAPIM";41
"313120 IPANEMA";96
"313130 IPATINGA";617
"313170 ITABIRA";252
"313180 ITABIRINHA";21
"313190 ITABIRITO";75
"313210 ITACARAMBI";38
"313220 ITAGUARA";45
"313230 ITAIPE";28
"313240 ITAJUBA";188
"313250 ITAMARANDIBA";97
"313270 ITAMBACURI";83
"313290 ITAMOGI";18
"313300 ITAMONTE";47
"313310 ITANHANDU";56
"313320 ITANHOMI";20
"313330 ITAOBIM";65
"313350 ITAPECERICA";45
"313375 ITAU DE MINAS";40
"313380 ITAUNA";133
"313400 ITINGA";1
"313420 ITUIUTABA";225
"313440 ITURAMA";71
"313460 JABOTICATUBAS";32
"313470 JACINTO";51
"313480 JACUI";12
"313490 JACUTINGA";37
"313505 JAIBA";27
"313510 JANAUBA";163
"313520 JANUARIA";66
"313540 JECEABA";27
"313580 JEQUITINHONHA";56
"313600 JOAIMA";33
"313620 JOAO MONLEVADE";135
"313630 JOAO PINHEIRO";65
"313650 JORDANIA";27
"313665 JUATUBA";14
"313670 JUIZ DE FORA";2444
"313690 JURUAIA";14
"313700 LADAINHA";21
"313710 LAGAMAR";9
"313720 LAGOA DA PRATA";64
"313750 LAGOA FORMOSA";22
"313760 LAGOA SANTA";75
"313770 LAJINHA";52
"313780 LAMBARI";50
"313790 LAMIM";8
"313800 LARANJAL";23
"313820 LAVRAS";207
"313840 LEOPOLDINA";85
"313860 LIMA DUARTE";36
"313880 LUZ";40
"313890 MACHACALIS";46
"313900 MACHADO";58
"313920 MALACACHETA";43
"313930 MANGA";43
"313940 MANHUACU";187
"313950 MANHUMIRIM";108
"313960 MANTENA";85
"313980 MAR DE ESPANHA";38
"313990 MARIA DA FE";30
"314000 MARIANA";67
"314050 MARTINHO CAMPOS";18
"314070 MATEUS LEME";67
"314090 MATIPO";47
"314100 MATO VERDE";4
"314110 MATOZINHOS";49
"314120 MATUTINA";10
"314140 MEDINA";53
"314150 MENDES PIMENTEL";24
"314160 MERCES";20
"314180 MINAS NOVAS";76
"314190 MINDURI";20
"314200 MIRABELA";30
"314220 MIRAI";40
"314240 MOEMA";13
"314260 MONSENHOR PAULO";44
"314270 MONTALVANIA";34
"314280 MONTE ALEGRE DE MINAS";22
"314290 MONTE AZUL";42
"314300 MONTE BELO";18
"314310 MONTE CARMELO";118
"314320 MONTE SANTO DE MINAS";50
"314330 MONTES CLAROS";1029
"314350 MORADA NOVA DE MINAS";20
"314390 MURIAE";488
"314400 MUTUM";50
"314410 MUZAMBINHO";50
"314430 NANUQUE";75
"314450 NAZARENO";15
"314460 NEPOMUCENO";40
"314470 NOVA ERA";43
"314480 NOVA LIMA";413
"314500 NOVA PONTE";28
"314510 NOVA RESENDE";18
"314520 NOVA SERRANA";69
"314530 NOVO CRUZEIRO";36
"314560 OLIVEIRA";118
"314590 OURO BRANCO";84
"314600 OURO FINO";50
"314610 OURO PRETO";118
"314630 PADRE PARAISO";40
"314650 PAINS";18
"314670 PALMA";27
"314700 PARACATU";301
"314710 PARA DE MINAS";123
"314720 PARAGUACU";33
"314730 PARAISOPOLIS";50
"314750 PASSABEM";14
"314760 PASSA QUATRO";49
"314770 PASSA TEMPO";19
"314790 PASSOS";318
"314800 PATOS DE MINAS";381
"314810 PATROCINIO";186
"314860 PECANHA";52
"314870 PEDRA AZUL";69
"314910 PEDRALVA";14
"314920 PEDRINOPOLIS";8
"314930 PEDRO LEOPOLDO";77
"314980 PERDIZES";25
"314990 PERDOES";50
"315030 PIEDADE DO RIO GRANDE";14
"315050 PIMENTA";12
"315080 PIRANGA";25
"315110 PIRAPETINGA";32
"315120 PIRAPORA";153
"315140 PITANGUI";50
"315150 PIUMHI";76
"315160 PLANURA";6
"315170 POCO FUNDO";64
"315180 POCOS DE CALDAS";553
"315190 POCRANE";18
"315200 POMPEU";32
"315210 PONTE NOVA";252
"315220 PORTEIRINHA";48
"315240 POTE";33
"315250 POUSO ALEGRE";378
"315260 POUSO ALTO";27
"315270 PRADOS";33
"315280 PRATA";28
"315290 PRATAPOLIS";17
"315300 PRATINHA";2
"315310 PRESIDENTE BERNARDES";18
"315340 PRESIDENTE OLEGARIO";18
"315400 RAUL SOARES";49
"315410 RECREIO";34
"315420 RESENDE COSTA";49
"315430 RESPLENDOR";65
"315460 RIBEIRAO DAS NEVES";101
"315470 RIBEIRAO VERMELHO";12
"315480 RIO ACIMA";6
"315490 RIO CASCA";48
"315520 RIO ESPERA";18
"315550 RIO PARANAIBA";25
"315560 RIO PARDO DE MINAS";40
"315570 RIO PIRACICABA";32
"315580 RIO POMBA";60
"315590 RIO PRETO";17
"315600 RIO VERMELHO";32
"315640 ROMARIA";5
"315660 RUBIM";38
"315670 SABARA";111
"315680 SABINOPOLIS";42
"315690 SACRAMENTO";50
"315700 SALINAS";107
"315710 SALTO DA DIVISA";15
"315720 SANTA BARBARA";50
"315770 SANTA JULIANA";41
"315780 SANTA LUZIA";178
"315790 SANTA MARGARIDA";31
"315800 SANTA MARIA DE ITABIRA";13
"315820 SANTA MARIA DO SUACUI";41
"315920 SANTA RITA DE CALDAS";43
"315930 SANTA RITA DE JACUTINGA";19
"315960 SANTA RITA DO SAPUCAI";54
"315970 SANTA ROSA DA SERRA";2
"315980 SANTA VITORIA";39
"315990 SANTO ANTONIO DO AMPARO";48
"316030 SANTO ANTONIO DO JACINTO";8
"316040 SANTO ANTONIO DO MONTE";58
"316070 SANTOS DUMONT";66
"316100 SAO DOMINGOS DO PRATA";40
"316110 SAO FRANCISCO";59
"316200 SAO GONCALO DO SAPUCAI";47
"316210 SAO GOTARDO";53
"316220 SAO JOAO BATISTA DO GLORIA";23
"316240 SAO JOAO DA PONTE";31
"316250 SAO JOAO DEL REI";233
"316257 SAO JOAO DO MANTENINHA";12
"316270 SAO JOAO DO PARAISO";48
"316280 SAO JOAO EVANGELISTA";49
"316290 SAO JOAO NEPOMUCENO";44
"316292 SAO JOAQUIM DE BICAS";24
"316370 SAO LOURENCO";122
"316390 SAO PEDRO DA UNIAO";8
"316420 SAO ROMAO";18
"316430 SAO ROQUE DE MINAS";12
"316470 SAO SEBASTIAO DO PARAISO";367
"316500 SAO TIAGO";45
"316510 SAO TOMAS DE AQUINO";1
"316530 SAO VICENTE DE MINAS";30
"316570 SENADOR FIRMINO";8
"316680 SERRA DO SALITRE";37
"316690 SERRANIA";14
"316710 SERRO";69
"316720 SETE LAGOAS";346
"316800 TAIOBEIRAS";100
"316840 TARUMIRIM";52
"316860 TEOFILO OTONI";359
"316870 TIMOTEO";47
"316890 TIROS";14
"316920 TOMBOS";37
"316930 TRES CORACOES";174
"316935 TRES MARIAS";35
"316940 TRES PONTAS";116
"316960 TUPACIGUARA";22
"316970 TURMALINA";46
"316990 UBA";310
"317005 UBAPORANGA";2
"317010 UBERABA";881
"317020 UBERLANDIA";1492
"317040 UNAI";136
"317043 UNIAO DE MINAS";34
"317052 URUCUIA";31
"317070 VARGINHA";305
"317080 VARZEA DA PALMA";53
"317090 VARZELANDIA";23
"317100 VAZANTE";50
"317120 VESPASIANO";59
"317130 VICOSA";213
"317160 VIRGEM DA LAPA";39
"317170 VIRGINIA";37
"317180 VIRGINOPOLIS";48
"317200 VISCONDE DO RIO BRANCO";90
"320010 AFONSO CLAUDIO";63
"320020 ALEGRE";47
"320040 ANCHIETA";179
"320050 APIACA";10
"320060 ARACRUZ";123
"320070 ATILIO VIVACQUA";11
"320080 BAIXO GUANDU";52
"320090 BARRA DE SAO FRANCISCO";86
"320100 BOA ESPERANCA";38
"320115 BREJETUBA";4
"320120 CACHOEIRO DE ITAPEMIRIM";619
"320130 CARIACICA";379
"320140 CASTELO";55
"320150 COLATINA";420
"320160 CONCEICAO DA BARRA";29
"320170 CONCEICAO DO CASTELO";23
"320190 DOMINGOS MARTINS";102
"320210 ECOPORANGA";56
"320220 FUNDAO";72
"320230 GUACUI";70
"320240 GUARAPARI";197
"320245 IBATIBA";14
"320250 IBIRACU";1
"320270 ITAGUACU";12
"320280 ITAPEMIRIM";90
"320290 ITARANA";38
"320300 IUNA";65
"320305 JAGUARE";22
"320310 JERONIMO MONTEIRO";50
"320313 JOAO NEIVA";51
"320316 LARANJA DA TERRA";26
"320320 LINHARES";402
"320332 MARATAIZES";80
"320340 MIMOSO DO SUL";39
"320350 MONTANHA";35
"320360 MUCURICI";19
"320370 MUNIZ FREIRE";22
"320380 MUQUI";21
"320390 NOVA VENECIA";64
"320400 PANCAS";20
"320405 PEDRO CANARIO";36
"320410 PINHEIROS";32
"320420 PIUMA";42
"320425 PONTO BELO";8
"320435 RIO BANANAL";26
"320450 SANTA LEOPOLDINA";25
"320455 SANTA MARIA DE JETIBA";58
"320460 SANTA TERESA";106
"320470 SAO GABRIEL DA PALHA";170
"320480 SAO JOSE DO CALCADO";98
"320490 SAO MATEUS";332
"320500 SERRA";1056
"320501 SOORETAMA";6
"320503 VARGEM ALTA";30
"320506 VENDA NOVA DO IMIGRANTE";84
"320520 VILA VELHA";1131
"320530 VITORIA";1835
"330010 ANGRA DOS REIS";231
"330015 APERIBE";35
"330020 ARARUAMA";166
"330022 AREAL";21
"330023 ARMACAO DOS BUZIOS";69
"330025 ARRAIAL DO CABO";76
"330030 BARRA DO PIRAI";286
"330040 BARRA MANSA";394
"330045 BELFORD ROXO";385
"330050 BOM JARDIM";65
"330060 BOM JESUS DO ITABAPOANA";185
"330070 CABO FRIO";436
"330080 CACHOEIRAS DE MACACU";81
"330090 CAMBUCI";42
"330093 CARAPEBUS";8
"330095 COMENDADOR LEVY GASPARIAN";41
"330100 CAMPOS DOS GOYTACAZES";1618
"330110 CANTAGALO";83
"330120 CARMO";41
"330130 CASIMIRO DE ABREU";54
"330140 CONCEICAO DE MACABU";21
"330150 CORDEIRO";40
"330160 DUAS BARRAS";30
"330170 DUQUE DE CAXIAS";1289
"330180 ENGENHEIRO PAULO DE FRONTIN";29
"330185 GUAPIMIRIM";155
"330190 ITABORAI";317
"330200 ITAGUAI";168
"330205 ITALVA";56
"330210 ITAOCARA";71
"330220 ITAPERUNA";352
"330225 ITATIAIA";36
"330227 JAPERI";30
"330230 LAJE DO MURIAE";32
"330240 MACAE";597
"330250 MAGE";210
"330260 MANGARATIBA";64
"330270 MARICA";186
"330280 MENDES";97
"330285 MESQUITA";189
"330290 MIGUEL PEREIRA";68
"330300 MIRACEMA";56
"330310 NATIVIDADE";49
"330320 NILOPOLIS";228
"330330 NITEROI";1979
"330340 NOVA FRIBURGO";505
"330350 NOVA IGUACU";858
"330360 PARACAMBI";87
"330370 PARAIBA DO SUL";128
"330380 PARATY";64
"330390 PETROPOLIS";1658
"330395 PINHEIRAL";33
"330400 PIRAI";52
"330410 PORCIUNCULA";1
"330411 PORTO REAL";45
"330412 QUATIS";33
"330414 QUEIMADOS";121
"330415 QUISSAMA";67
"330420 RESENDE";331
"330430 RIO BONITO";118
"330440 RIO CLARO";41
"330450 RIO DAS FLORES";27
"330452 RIO DAS OSTRAS";124
"330455 RIO DE JANEIRO";16316
"330460 SANTA MARIA MADALENA";23
"330470 SANTO ANTONIO DE PADUA";176
"330475 SAO FRANCISCO DE ITABAPOANA";39
"330480 SAO FIDELIS";111
"330490 SAO GONCALO";854
"330500 SAO JOAO DA BARRA";59
"330510 SAO JOAO DE MERITI";310
"330515 SAO JOSE DO VALE DO RIO PRETO";48
"330520 SAO PEDRO DA ALDEIA";77
"330530 SAO SEBASTIAO DO ALTO";48
"330540 SAPUCAIA";4
"330550 SAQUAREMA";185
"330555 SEROPEDICA";35
"330560 SILVA JARDIM";40
"330570 SUMIDOURO";28
"330575 TANGUA";64
"330580 TERESOPOLIS";366
"330590 TRAJANO DE MORAES";38
"330600 TRES RIOS";97
"330610 VALENCA";313
"330615 VARRE-SAI";23
"330620 VASSOURAS";378
"330630 VOLTA REDONDA";847
"350010 ADAMANTINA";195
"350030 AGUAI";24
"350050 AGUAS DE LINDOIA";42
"350070 AGUDOS";54
"350100 ALTINOPOLIS";21
"350110 ALTO ALEGRE";22
"350115 ALUMINIO";120
"350130 ALVARES MACHADO";18
"350160 AMERICANA";413
"350170 AMERICO BRASILIENSE";245
"350190 AMPARO";374
"350210 ANDRADINA";92
"350220 ANGATUBA";57
"350250 APARECIDA";92
"350260 APARECIDA D'OESTE";14
"350270 APIAI";51
"350280 ARACATUBA";418
"350290 ARACOIABA DA SERRA";330
"350310 ARANDU";6
"350320 ARARAQUARA";562
"350330 ARARAS";422
"350340 AREALVA";32
"350380 ARTUR NOGUEIRA";8
"350390 ARUJA";76
"350400 ASSIS";277
"350410 ATIBAIA";266
"350420 AURIFLAMA";44
"350450 AVARE";178
"350490 BANANAL";15
"350520 BARIRI";58
"350530 BARRA BONITA";51
"350550 BARRETOS";486
"350570 BARUERI";524
"350580 BASTOS";33
"350590 BATATAIS";133
"350600 BAURU";1329
"350610 BEBEDOURO";175
"350630 BERNARDINO DE CAMPOS";23
"350635 BERTIOGA";49
"350640 BILAC";36
"350650 BIRIGUI";148
"350660 BIRITIBA-MIRIM";13
"350670 BOA ESPERANCA DO SUL";16
"350680 BOCAINA";18
"350700 BOITUVA";53
"350710 BOM JESUS DOS PERDOES";11
"350740 BORBOREMA";26
"350750 BOTUCATU";820
"350760 BRAGANCA PAULISTA";364
"350790 BROTAS";41
"350810 BURITAMA";40
"350840 CABREUVA";66
"350850 CACAPAVA";303
"350860 CACHOEIRA PAULISTA";32
"350870 CACONDE";50
"350880 CAFELANDIA";45
"350900 CAIEIRAS";130
"350920 CAJAMAR";139
"350930 CAJOBI";32
"350940 CAJURU";140
"350950 CAMPINAS";2798
"350960 CAMPO LIMPO PAULISTA";54
"350970 CAMPOS DO JORDAO";195
"351000 CANDIDO MOTA";30
"351020 CAPAO BONITO";45
"351030 CAPELA DO ALTO";59
"351040 CAPIVARI";104
"351050 CARAGUATATUBA";327
"351060 CARAPICUIBA";270
"351070 CARDOSO";31
"351080 CASA BRANCA";406
"351100 CASTILHO";31
"351110 CATANDUVA";622
"351140 CERQUEIRA CESAR";38
"351150 CERQUILHO";38
"351160 CESARIO LANGE";27
"351170 CHARQUEADA";33
"351190 CLEMENTINA";24
"351200 COLINA";54
"351210 COLOMBIA";20
"351220 CONCHAL";52
"351230 CONCHAS";15
"351260 CORONEL MACEDO";2
"351270 CORUMBATAI";2
"351280 COSMOPOLIS";61
"351300 COTIA";574
"351310 CRAVINHOS";15
"351340 CRUZEIRO";121
"351350 CUBATAO";119
"351360 CUNHA";40
"351370 DESCALVADO";40
"351380 DIADEMA";532
"351390 DIVINOLANDIA";186
"351410 DOIS CORREGOS";67
"351430 DOURADO";10
"351440 DRACENA";143
"351450 DUARTINA";87
"351480 ELDORADO";2
"351490 ELIAS FAUSTO";6
"351500 EMBU DAS ARTES";244
"351510 EMBU-GUACU";15
"351518 ESPIRITO SANTO DO PINHAL";415
"351520 ESTRELA D'OESTE";51
"351540 FARTURA";20
"351550 FERNANDOPOLIS";135
"351570 FERRAZ DE VASCONCELOS";189
"351600 FLORIDA PAULISTA";47
"351620 FRANCA";565
"351630 FRANCISCO MORATO";157
"351640 FRANCO DA ROCHA";434
"351660 GALIA";45
"351670 GARCA";269
"351690 GENERAL SALGADO";28
"351700 GETULINA";38
"351740 GUAIRA";51
"351770 GUARA";50
"351780 GUARACAI";23
"351820 GUARARAPES";74
"351830 GUARAREMA";31
"351840 GUARATINGUETA";283
"351860 GUARIBA";61
"351870 GUARUJA";447
"351880 GUARULHOS";1924
"351900 HERCULANDIA";58
"351907 HORTOLANDIA";98
"351910 IACANGA";30
"351930 IBATE";38
"351940 IBIRA";27
"351960 IBITINGA";104
"351970 IBIUNA";245
"351990 IEPE";18
"352010 IGARAPAVA";43
"352020 IGARATA";8
"352040 ILHABELA";39
"352044 ILHA SOLTEIRA";110
"352050 INDAIATUBA";454
"352070 INDIAPORA";36
"352090 IPAUSSU";49
"352100 IPERO";15
"352110 IPEUNA";1
"352130 IPUA";50
"352140 IRACEMAPOLIS";3
"352170 ITABERA";19
"352180 ITAI";33
"352190 ITAJOBI";50
"352210 ITANHAEM";145
"352220 ITAPECERICA DA SERRA";633
"352230 ITAPETININGA";216
"352240 ITAPEVA";147
"352250 ITAPEVI";360
"352260 ITAPIRA";905
"352270 ITAPOLIS";69
"352280 ITAPORANGA";41
"352290 ITAPUI";35
"352310 ITAQUAQUECETUBA";273
"352320 ITARARE";78
"352340 ITATIBA";120
"352350 ITATINGA";14
"352360 ITIRAPINA";10
"352390 ITU";465
"352400 ITUPEVA";86
"352410 ITUVERAVA";120
"352420 JABORANDI";17
"352430 JABOTICABAL";277
"352440 JACAREI";339
"352450 JACI";216
"352470 JAGUARIUNA";84
"352480 JALES";151
"352500 JANDIRA";15
"352520 JARINU";29
"352530 JAU";876
"352550 JOANOPOLIS";11
"352570 JOSE BONIFACIO";87
"352590 JUNDIAI";998
"352600 JUNQUEIROPOLIS";46
"352620 JUQUITIBA";1
"352640 LARANJAL PAULISTA";46
"352670 LEME";135
"352680 LENCOIS PAULISTA";171
"352690 LIMEIRA";386
"352710 LINS";353
"352720 LORENA";200
"352730 LOUVEIRA";32
"352740 LUCELIA";36
"352800 MACATUBA";31
"352810 MACAUBAL";15
"352850 MAIRIPORA";44
"352880 MARACAI";26
"352900 MARILIA";855
"352920 MARTINOPOLIS";45
"352930 MATAO";151
"352940 MAUA";528
"352970 MIGUELOPOLIS";72
"352980 MINEIROS DO TIETE";11
"353010 MIRANDOPOLIS";88
"353020 MIRANTE DO PARANAPANEMA";23
"353030 MIRASSOL";79
"353050 MOCOCA";137
"353060 MOGI DAS CRUZES";859
"353070 MOGI GUACU";347
"353080 MOGI MIRIM";172
"353110 MONGAGUA";36
"353130 MONTE ALTO";96
"353140 MONTE APRAZIVEL";80
"353150 MONTE AZUL PAULISTA";70
"353180 MONTE MOR";35
"353190 MORRO AGUDO";47
"353200 MORUNGABA";9
"353240 NAZARE PAULISTA";20
"353250 NEVES PAULISTA";21
"353260 NHANDEARA";129
"353290 NOVA EUROPA";16
"353300 NOVA GRANADA";62
"353340 NOVA ODESSA";35
"353350 NOVO HORIZONTE";73
"353390 OLIMPIA";79
"353430 ORLANDIA";98
"353440 OSASCO";960
"353460 OSVALDO CRUZ";73
"353470 OURINHOS";171
"353475 OUROESTE";33
"353520 PALMEIRA D'OESTE";20
"353530 PALMITAL";43
"353550 PARAGUACU PAULISTA";96
"353580 PARANAPANEMA";15
"353600 PARAPUA";32
"353620 PARIQUERA-ACU";139
"353630 PATROCINIO PAULISTA";35
"353650 PAULINIA";79
"353660 PAULO DE FARIA";24
"353670 PEDERNEIRAS";62
"353700 PEDREGULHO";64
"353710 PEDREIRA";85
"353720 PEDRO DE TOLEDO";3
"353730 PENAPOLIS";138
"353740 PEREIRA BARRETO";52
"353760 PERUIBE";18
"353780 PIEDADE";79
"353790 PILAR DO SUL";35
"353800 PINDAMONHANGABA";255
"353860 PIRACAIA";42
"353870 PIRACICABA";733
"353880 PIRAJU";68
"353890 PIRAJUI";290
"353900 PIRANGI";47
"353930 PIRASSUNUNGA";184
"353940 PIRATININGA";23
"353950 PITANGUEIRAS";56
"353980 POA";10
"354000 POMPEIA";26
"354020 PONTAL";23
"354040 POPULINA";18
"354060 PORTO FELIZ";63
"354070 PORTO FERREIRA";55
"354080 POTIRENDABA";32
"354100 PRAIA GRANDE";380
"354120 PRESIDENTE BERNARDES";51
"354130 PRESIDENTE EPITACIO";78
"354140 PRESIDENTE PRUDENTE";1108
"354150 PRESIDENTE VENCESLAU";102
"354160 PROMISSAO";63
"354190 QUELUZ";19
"354220 RANCHARIA";103
"354240 REGENTE FEIJO";43
"354260 REGISTRO";242
"354290 RIBEIRAO BONITO";13
"354300 RIBEIRAO BRANCO";26
"354330 RIBEIRAO PIRES";156
"354340 RIBEIRAO PRETO";2246
"354380 RINOPOLIS";24
"354390 RIO CLARO";394
"354400 RIO DAS PEDRAS";72
"354420 RIOLANDIA";36
"354425 ROSANA";70
"354430 ROSEIRA";14
"354490 SALES OLIVEIRA";30
"354500 SALESOPOLIS";9
"354520 SALTO";116
"354530 SALTO DE PIRAPORA";52
"354540 SALTO GRANDE";34
"354560 SANTA ADELIA";23
"354580 SANTA BARBARA D'OESTE";196
"354630 SANTA CRUZ DAS PALMEIRAS";35
"354640 SANTA CRUZ DO RIO PARDO";96
"354660 SANTA FE DO SUL";81
"354680 SANTA ISABEL";82
"354690 SANTA LUCIA";8
"354700 SANTA MARIA DA SERRA";6
"354730 SANTANA DE PARNAIBA";62
"354750 SANTA RITA DO PASSA QUATRO";265
"354760 SANTA ROSA DE VITERBO";32
"354770 SANTO ANASTACIO";56
"354780 SANTO ANDRE";1560
"354790 SANTO ANTONIO DA ALEGRIA";9
"354850 SANTOS";1645
"354860 SAO BENTO DO SAPUCAI";40
"354870 SAO BERNARDO DO CAMPO";1676
"354880 SAO CAETANO DO SUL";796
"354890 SAO CARLOS";413
"354910 SAO JOAO DA BOA VISTA";199
"354940 SAO JOAQUIM DA BARRA";104
"354970 SAO JOSE DO RIO PARDO";141
"354980 SAO JOSE DO RIO PRETO";2169
"354990 SAO JOSE DOS CAMPOS";1541
"354995 SAO LOURENCO DA SERRA";60
"355000 SAO LUIS DO PARAITINGA";25
"355010 SAO MANUEL";58
"355020 SAO MIGUEL ARCANJO";79
"355030 SAO PAULO";30542
"355040 SAO PEDRO";63
"355060 SAO ROQUE";274
"355070 SAO SEBASTIAO";88
"355080 SAO SEBASTIAO DA GRAMA";30
"355090 SAO SIMAO";40
"355100 SAO VICENTE";292
"355150 SERRANA";84
"355160 SERRA NEGRA";49
"355170 SERTAOZINHO";134
"355200 SILVEIRAS";2
"355210 SOCORRO";70
"355220 SOROCABA";1627
"355230 SUD MENNUCCI";22
"355240 SUMARE";191
"355250 SUZANO";372
"355260 TABAPUA";30
"355270 TABATINGA";34
"355280 TABOAO DA SERRA";489
"355300 TAGUAI";29
"355320 TAIUVA";4
"355330 TAMBAU";36
"355340 TANABI";72
"355360 TAPIRATIBA";16
"355370 TAQUARITINGA";122
"355380 TAQUARITUBA";47
"355400 TATUI";129
"355410 TAUBATE";531
"355430 TEODORO SAMPAIO";58
"355440 TERRA ROXA";34
"355450 TIETE";55
"355470 TORRINHA";20
"355480 TREMEMBE";10
"355500 TUPA";340
"355510 TUPI PAULISTA";48
"355540 UBATUBA";77
"355580 URANIA";26
"355600 URUPES";20
"355620 VALINHOS";142
"355630 VALPARAISO";55
"355640 VARGEM GRANDE DO SUL";50
"355650 VARZEA PAULISTA";33
"355660 VERA CRUZ";72
"355670 VINHEDO";85
"355680 VIRADOURO";48
"355700 VOTORANTIM";102
"355710 VOTUPORANGA";211
"355720 CHAVANTES";51
"410020 ADRIANOPOLIS";3
"410030 AGUDOS DO SUL";12
"410045 ALTAMIRA DO PARANA";19
"410050 ALTONIA";39
"410060 ALTO PARANA";20
"410080 ALVORADA DO SUL";20
"410090 AMAPORA";13
"410100 AMPERE";34
"410110 ANDIRA";62
"410120 ANTONINA";31
"410130 ANTONIO OLINTO";2
"410140 APUCARANA";262
"410150 ARAPONGAS";388
"410160 ARAPOTI";43
"410170 ARARUNA";20
"410180 ARAUCARIA";62
"410190 ASSAI";49
"410200 ASSIS CHATEAUBRIAND";77
"410210 ASTORGA";99
"410240 BANDEIRANTES";112
"410250 BARBOSA FERRAZ";1
"410280 BELA VISTA DO PARAISO";17
"410290 BITURUNA";43
"410305 BOA VISTA DA APARECIDA";20
"410310 BOCAIUVA DO SUL";9
"410320 BOM SUCESSO";29
"410330 BORRAZOPOLIS";26
"410345 CAFELANDIA";31
"410360 CAMBARA";95
"410370 CAMBE";118
"410390 CAMPINA DA LAGOA";34
"410400 CAMPINA GRANDE DO SUL";356
"410420 CAMPO LARGO";828
"410430 CAMPO MOURAO";222
"410440 CANDIDO DE ABREU";31
"410442 CANDOI";41
"410450 CAPANEMA";38
"410460 CAPITAO LEONIDAS MARQUES";34
"410470 CARLOPOLIS";50
"410480 CASCAVEL";1086
"410490 CASTRO";136
"410510 CENTENARIO DO SUL";25
"410520 CERRO AZUL";17
"410530 CEU AZUL";36
"410540 CHOPINZINHO";77
"410550 CIANORTE";164
"410560 CIDADE GAUCHA";22
"410570 CLEVELANDIA";54
"410580 COLOMBO";57
"410590 COLORADO";101
"410600 CONGONHINHAS";24
